emergency_month1,emergency_month2,emergency_month3,emergency_month4,emergency_month5,emergency_month6,emergency_month7,emergency_month8,emergency_month9,emergency_month10,emergency_month11,emergency_month12,emergency_night,emergency_evening,emergency_afternoon,emergency_morning,emergency_dawn
7.50177e-05,0.00013214349746704102,2.2061669158190966e-10,0.0005518496036529541,0.04423952102661133,3.1913790735416114e-05,0.9968552589416504,9.21105092857033e-05,0.019685029983520508,5.5289732792118684e-09,1.121060648756611e-07,0.007763653993606567,2.5552856186550343e-07,0.26164162158966064,0.8617936372756958,0.9972431659698486,6.194345132826129e-06
6.091956e-14,0.07958120107650757,1.0036929065648792e-09,6.557502638315782e-05,4.447349965630565e-06,1.026565875301686e-21,0.999904990196228,1.9791552146373288e-16,4.1223166373505205e-13,1.3169001999990826e-10,6.113333051792629e-27,9.319794285270189e-13,2.537284076419011e-13,0.0001373589038848877,0.7256454229354858,0.004895895719528198,3.5175293788825e-08
1.3176426e-12,4.939078053212143e-07,1.3717946778513124e-08,7.828477919247234e-07,2.8620747798413504e-06,5.331201828084886e-05,0.9998663663864136,0.00019657611846923828,6.378071959467491e-10,3.727850493573381e-12,5.359502675681489e-30,4.913701509736633e-19,3.791203851912948e-15,0.11361795663833618,0.9520021677017212,0.042067140340805054,9.803811408526375e-13
0.91009784,4.5461811398750385e-12,6.29647183814086e-06,2.70050313702086e-05,0.00018256902694702148,0.002720177173614502,0.9999996423721313,1.0,0.887069821357727,2.766424040601123e-05,2.909986140942067e-10,3.293623376521282e-05,0.000747382640838623,0.01736825704574585,0.9520021677017212,0.9999997019767761,0.984371542930603
3.712275e-05,0.9211817979812622,0.8899863362312317,6.451849912991747e-05,0.0002332925796508789,0.0,0.009253770112991333,0.9916903376579285,0.990871787071228,0.788477897644043,0.23540246486663818,0.01819741725921631,0.00028318166732788086,0.898698091506958,0.9520021677017212,0.8678710460662842,0.0001436769962310791
4.770618e-10,1.4096372506766652e-11,3.977286056056073e-08,4.66069167259775e-07,1.326792357758677e-06,1.700510149360568e-10,0.9999287724494934,1.9234180220761843e-12,1.16646235314051e-13,1.6817034217600543e-20,1.0043661556037398e-22,7.64399059898131e-16,5.754974437503951e-23,1.2943870864035034e-08,0.5066194534301758,0.03636282682418823,6.03863096679258e-12
2.2861088e-05,0.5038015842437744,0.0062951743602752686,0.20042160153388977,0.015733569860458374,1.1182432757550487e-08,0.9489923715591431,0.7877031564712524,0.003183990716934204,0.0003953874111175537,0.19668421149253845,0.0020290613174438477,2.045085466306773e-06,0.41142547130584717,0.7444671988487244,0.1794503629207611,4.4876736637888825e-07
5.332933e-06,1.2337901940159322e-22,3.9960718822840136e-06,5.663515167952937e-08,4.566986171994358e-05,0.0,1.2069842034741519e-24,8.285104158289869e-09,0.04534253478050232,0.9997918009757996,0.02461978793144226,0.841083288192749,3.187434049323201e-05,1.8782317923182745e-08,0.28499120473861694,0.9998209476470947,0.0008519887924194336
0.0007915795,0.0016270279884338379,0.00045984983444213867,0.1874924600124359,0.06826680898666382,0.002953082323074341,0.9928768873214722,0.0005864500999450684,0.16465073823928833,0.2681896686553955,0.005957871675491333,0.6419402360916138,0.15476727485656738,0.04010492563247681,0.4732116460800171,0.9866276979446411,0.03154847025871277
2.286137e-09,6.934261537380567e-21,1.7917967852554284e-05,0.0012718439102172852,0.03987151384353638,0.0002779662609100342,0.9998923540115356,0.9279415607452393,0.989650309085846,0.012164205312728882,0.05553087592124939,8.076741053741898e-09,0.06567317247390747,0.858185887336731,0.930679202079773,0.9591454863548279,1.037447691487614e-05
